SITE_ID,MOSS_SPECIES_OR_LAYER,MOSS_GROUP,MOSS_MICROTOPOGRAPHY,MOSS_NPP,SAMPLE_YEAR_FIRST,SAMPLE_YEAR_LAST,REFERENCE_ID
125,Campylium stellatum (Hedw.) C. Jens,Other,Lawn,78.0,1985,1985,65
125,Drepanocladus revolvens (Sw.) Warnst.,Other,Lawn,102.0,1984,1984,65
125,Drepanocladus revolvens (Sw.) Warnst.,Other,Lawn,101.0,1985,1985,65
125,Drepanocladus revolvens (Sw.) Warnst.,Other,Lawn,105.0,1983,1983,65
125,Moss layer    ,Other,Lawn ,97.0,1983,1985,65
125,Moss layer    ,All,nd,125.0,1983,1983,65
125,Moss layer    ,All,nd,126.0,1984,1984,65
125,Moss layer    ,All,nd,131.0,1985,1985,65
125,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,139.0,1983,1983,65
125,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,156.0,1984,1984,65
125,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,170.0,1985,1985,65
125,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,161.0,1983,1985,65
125,Moss layer    ,All,Hummock ,122.0,1983,1985,65
125,Tomenthypnum nitens (Hedw.) Loeske,Other,Hummock ,117.5,1983,1983,65
125,Tomenthypnum nitens (Hedw.) Loeske,Other,Hummock ,130.0,1984,1984,65
125,Tomenthypnum nitens (Hedw.) Loeske,Other,Hummock ,131.0,1985,1985,65
126,Campylium stellatum (Hedw.) C. Jens,Other,Lawn,58.0,1983,1983,65
126,Campylium stellatum (Hedw.) C. Jens,Other,Lawn,52.0,1984,1984,65
126,Campylium stellatum (Hedw.) C. Jens,Other,Lawn,36.0,1985,1985,65
126,Drepanocladus revolvens (Sw.) Warnst.,Other,Lawn,91.0,1984,1984,65
126,Drepanocladus revolvens (Sw.) Warnst.,Other,Lawn,47.0,1985,1985,65
126,Drepanocladus revolvens (Sw.) Warnst.,Other,Lawn,109.0,1983,1983,65
126,Moss layer    ,Other,Lawn ,73.0,1983,1985,65
126,Moss layer    ,All,nd,93.0,1983,1983,65
126,Moss layer    ,All,nd,83.0,1984,1984,65
126,Moss layer    ,All,nd,47.0,1985,1985,65
126,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,108.0,1983,1983,65
126,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,97.0,1984,1984,65
126,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,40.0,1985,1985,65
126,Scorpidium scorpioides (Hedw.) Limpr.,Other,Carpet,82.0,1983,1985,65
126,Moss layer    ,All,Hummock ,59.0,1983,1985,65
126,Tomenthypnum nitens (Hedw.) Loeske,Other,Hummock ,55.0,1983,1983,65
126,Tomenthypnum nitens (Hedw.) Loeske,Other,Hummock ,58.0,1984,1984,65
126,Tomenthypnum nitens (Hedw.) Loeske,Other,Hummock ,64.0,1985,1985,65
141,Moss Layer,All,nd,170.0,2002,2002,33
142,"Sphagnum capillifolium (Ehrh.) Hedw., Sphagnum fuscum (Schimp.) Klinggr.",Sphagnum,Hummock ,140.0,2002,2002,33
144,"Sphagnum magellanicum Brid., Sphagnum angustifolium (C. Jens. Ex Russ.) C. Jens in Tolf",Sphagnum,Hollow,210.0,2002,2002,33
145,Moss layer    ,All,nd,313.0,1994,1998,68
146,Moss layer    ,All,nd,257.0,1994,1998,68
147,Moss layer    ,All,nd,247.0,1994,1998,68
152,"Sphagnum magellanicum Brid., Sphagnum papillosum Lindb.",Sphagnum,nd,225.0,2002,2002,33
